"Pressure","Date/Time"
29.9,2015-10-05 14:16:53
29.9,2015-10-05 14:17:15
29.9,2015-10-05 14:40:11
29.9,2015-10-05 14:46:04
29.89,2015-10-05 17:25:22
30.2,2015-10-11 12:21:35
30.16,2015-10-13 00:25:42
30.16,2015-10-13 00:29:14
30.16,2015-10-13 00:30:14
30.16,2015-10-13 00:31:15
30.16,2015-10-13 00:31:50
30.16,2015-10-13 00:32:21
30.16,2015-10-13 00:32:51
30.16,2015-10-13 00:33:21
30.16,2015-10-13 00:33:52
30.16,2015-10-13 00:34:22
30.16,2015-10-13 00:34:53
30.16,2015-10-13 00:35:23
30.16,2015-10-13 00:35:54
30.16,2015-10-13 00:36:24
30.16,2015-10-13 00:36:55
30.16,2015-10-13 00:37:25
30.16,2015-10-13 00:37:55
30.16,2015-10-13 00:38:26
30.16,2015-10-13 00:38:57
30.16,2015-10-13 00:39:27
30.16,2015-10-13 00:39:58
30.16,2015-10-13 00:40:28
30.16,2015-10-13 00:40:59
30.16,2015-10-13 00:41:29
30.16,2015-10-13 00:42:00
30.16,2015-10-13 00:42:30
30.16,2015-10-13 00:43:00
30.16,2015-10-13 00:43:31
30.16,2015-10-13 00:44:02
30.16,2015-10-13 00:44:32
30.16,2015-10-13 00:45:03
30.16,2015-10-13 00:45:33
30.16,2015-10-13 00:46:04
30.16,2015-10-13 00:46:34
30.16,2015-10-13 00:47:04
30.16,2015-10-13 00:47:34
30.16,2015-10-13 00:48:05
30.16,2015-10-13 00:48:35
30.16,2015-10-13 00:49:06
30.16,2015-10-13 00:49:37
30.16,2015-10-13 00:50:07
30.16,2015-10-13 00:50:38
30.16,2015-10-13 00:51:08
30.16,2015-10-13 00:51:39
30.16,2015-10-13 00:52:09
30.16,2015-10-13 00:52:40
30.16,2015-10-13 00:53:10
30.16,2015-10-13 00:53:41
30.16,2015-10-13 00:54:11
30.16,2015-10-13 00:54:42
30.16,2015-10-13 00:55:12
30.16,2015-10-13 00:55:44
30.16,2015-10-13 00:56:14
30.16,2015-10-13 00:56:45
30.16,2015-10-13 00:57:15
30.16,2015-10-13 00:57:46
30.16,2015-10-13 00:58:16
30.16,2015-10-13 00:58:47
30.16,2015-10-13 00:59:18
30.16,2015-10-13 00:59:48
30.16,2015-10-13 01:00:19
30.16,2015-10-13 01:00:49
30.16,2015-10-13 01:01:20
30.16,2015-10-13 01:01:50
30.16,2015-10-13 01:02:20
30.16,2015-10-13 01:02:51
30.16,2015-10-13 01:03:21
30.16,2015-10-13 01:03:52
30.16,2015-10-13 01:04:23
30.16,2015-10-13 01:04:53
30.16,2015-10-13 01:05:24
30.16,2015-10-13 01:05:54
30.16,2015-10-13 01:06:25
30.16,2015-10-13 01:06:55
30.16,2015-10-13 01:07:26
30.16,2015-10-13 01:07:56
30.16,2015-10-13 01:08:27
30.16,2015-10-13 01:08:57
30.16,2015-10-13 01:09:28
30.16,2015-10-13 01:09:59
30.16,2015-10-13 01:10:29
30.16,2015-10-13 01:11:00
30.16,2015-10-13 01:11:31
30.16,2015-10-13 01:12:01
30.16,2015-10-13 01:12:32
30.16,2015-10-13 01:13:02
30.16,2015-10-13 01:13:32
30.16,2015-10-13 01:14:03
30.16,2015-10-13 01:14:34
30.16,2015-10-13 01:15:04
30.16,2015-10-13 01:15:35
30.16,2015-10-13 01:16:05
30.16,2015-10-13 01:16:36
30.16,2015-10-13 01:17:06
30.16,2015-10-13 01:18:45
30.16,2015-10-13 01:19:05
30.16,2015-10-13 01:20:41
30.16,2015-10-13 01:21:01
30.16,2015-10-13 01:22:21
30.16,2015-10-13 01:23:20
30.16,2015-10-13 01:24:05
30.16,2015-10-13 01:24:06
30.16,2015-10-13 01:24:07
30.16,2015-10-13 01:24:08
30.16,2015-10-13 01:24:09
30.16,2015-10-13 01:24:11
30.16,2015-10-13 01:31:21
30.16,2015-10-13 01:36:21
30.16,2015-10-13 01:41:22
30.16,2015-10-13 01:42:07
30.16,2015-10-13 02:12:09
29.96,2015-10-28 21:53:01
29.95,2015-11-16 17:49:30
29.95,2015-11-16 17:49:30
